track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
3qhlB30KknSejmIvZZLjOD,End of Beginning,DECIDE,Djo,2022-09-16,159245,93,0.689,0.0351,0.454,0.00259,0.0707,-7.643,0.0584,159.982,4
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,228639,85,0.645,0.0615,0.646,3.04e-05,0.074,-8.334,0.0427,115.842,4
17phhZDn6oGtzMe56NuWvj,Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims,2023-09-15,210688,91,0.561,0.199,0.604,1.9e-05,0.104,-4.409,0.0337,159.92,3
22DH8NChecsgPxDjA4pqer,Tough,Tough,Quavo,2024-07-03,188828,88,0.582,0.452,0.557,1.87e-05,0.121,-7.981,0.101,84.989,4
629DixmZGHc7ILtEntuiWE,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,179586,93,0.893,0.0452,0.4,0.0823,0.0632,-7.981,0.0643,124.987,4
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),What Happens Now?,Dasha,2024-02-16,171782,91,0.756,0.464,0.672,3.37e-06,0.108,-6.743,0.0522,114.935,4
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,i like the way you kiss me,Artemas,2024-03-19,142514,92,0.599,0.000938,0.946,0.0106,0.0826,-4.263,0.0447,151.647,4
1BJJbSX6muJVF2AK7uH1x4,Move,Move,Adam Port,2024-06-07,177598,90,0.727,0.0563,0.782,0.336,0.225,-8.529,0.042,119.992,4
4w2GLmK2wnioVnb5CPQeex,360,BRAT,Charli xcx,2024-06-07,133805,88,0.857,0.646,0.62,0.244,0.0934,-8.13,0.0472,120.042,4
2HYFX63wP3otVIvopRS99Z,Houdini,Houdini,Eminem,2024-05-31,227239,91,0.936,0.0292,0.887,1.88e-06,0.0582,-2.76,0.0683,127.003,4
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,2024-04-05,149667,90,0.681,0.0375,0.714,0.0,0.232,-4.617,0.0309,129.976,4
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Belong Together,Mark Ambor,2024-02-16,148317,91,0.646,0.491,0.668,0.0,0.212,-5.203,0.0282,90.969,4
6NjWCIYu1W8xa3HIvcIhd4,Nasty,Nasty,Tinashe,2024-04-12,176027,86,0.931,0.165,0.411,5.26e-06,0.134,-8.433,0.0711,100.002,4
0mflMxspEfB0VbI1kyLiAv,Stick Season,Stick Season,Noah Kahan,2022-10-14,182346,90,0.664,0.799,0.5,0.0,0.0966,-6.935,0.0651,117.896,4
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,THE FIRST TIME,The Kid LAROI,2023-11-10,86983,88,0.482,0.0137,0.757,0.0016,0.143,-4.586,0.0355,142.579,4
57lsYy0OZLNb5OQ7fEa3Hs,Did It First (with Central Cee),Did It First (with Central Cee),Ice Spice,2024-07-11,118002,87,0.635,0.229,0.574,0.0,0.126,-7.453,0.322,153.938,4
1bjeWoagtHmUKputLVyDxQ,Saturn,Saturn,SZA,2024-02-22,186191,89,0.411,0.62,0.619,0.0,0.11,-6.834,0.0368,177.937,4
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,Lies Lies Lies,Morgan Wallen,2024-07-05,198068,87,0.486,0.239,0.702,7.54e-05,0.0912,-5.758,0.0298,81.053,4
3rUGC1vUpkDG9CZFHMur1t,greedy,greedy,Tate McRae,2023-09-15,131872,89,0.749,0.261,0.729,0.0,0.113,-3.19,0.0321,111.004,1
0h3Xy4V4apMraB5NuM8U7Z,Stumblin' In,Stumblin' In,CYRIL,2023-11-10,213363,89,0.875,0.0638,0.518,0.00995,0.125,-8.388,0.0551,126.089,4
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,228965,90,0.504,0.502,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,4
5b3XJ1pjrHO5JtY2PcTjnI,Mamushi (feat. Yuki Chiba),MEGAN,Megan Thee Stallion,2024-06-28,156988,87,0.892,0.033,0.531,0.0,0.0824,-4.968,0.207,81.036,4
0OA00aPt3BV10qeMIs3meW,Big Dawgs,Big Dawgs,Hanumankind,2024-07-09,190666,81,0.464,0.0235,0.745,0.0,0.363,-3.202,0.161,180.098,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,2023-06-23,244684,91,0.264,0.0393,0.64,2.31e-06,0.151,-6.221,0.0442,84.828,4
