track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
5crxqqibcvoOQQgg4HjAFQ,164011,83,0.608,0.00545,0.914,0.0,0.137,-4.116,0.0721,120.01,4,0
2fKAG7MnnFDrQERDAzSztc,179050,71,0.537,0.0299,0.873,0.0,0.0768,-4.516,0.0521,130.007,4,0
0mVYqxsm3ReFqAuxG9Orrk,133016,66,0.608,0.0952,0.606,0.0,0.236,-3.423,0.0514,139.69,4,0
61SRKyox0R9jCzci4JXKBS,153906,79,0.489,0.0124,0.755,0.0,0.28,-4.471,0.045,113.05,4,0
2b98AhAxuK5i4YUHaQ7eQR,201806,69,0.45,0.0185,0.812,2.74e-06,0.0858,-4.338,0.0419,151.872,4,0
75SAnNqcLsh5rg17isiPM8,183477,71,0.575,0.856,0.286,0.0,0.179,-6.768,0.0322,141.574,4,0
4boa7Bv0VijpxoP1SHjjUb,217307,75,0.621,0.603,0.469,3.29e-05,0.128,-6.015,0.0296,73.16,4,0
5Ix11gWVeOnU2EKeP35AOO,178196,67,0.384,0.00953,0.854,5.23e-06,0.159,-4.727,0.052,150.73,4,0
76ODTQOl0JZQbhfxs6nRV9,197133,78,0.512,0.0602,0.672,0.0,0.158,-5.298,0.03,76.821,4,0
4Znwf3U6xJsQrj0UveLpOx,196400,68,0.625,0.181,0.637,8.32e-06,0.358,-6.301,0.0301,105.03,4,0
6ouFl8UDdMc9zuzmzvmh7v,211541,67,0.634,0.486,0.585,0.0,0.0926,-5.93,0.0276,111.012,4,0
7dyjQ4rUIHw3OI8Nl3kdJk,197066,69,0.631,0.546,0.513,0.0,0.125,-6.426,0.025,139.862,4,0
2uqYupMHANxnwgeiXTZXzd,171782,91,0.756,0.464,0.672,3.37e-06,0.108,-6.743,0.0522,114.935,4,0
3Sg0jiuv2ckmxTBX4tLJQq,199392,73,0.589,0.0268,0.625,1.51e-05,0.124,-5.302,0.0405,125.997,4,0
7FKAVg9SA7QYLxdVRLnKjd,184173,73,0.558,0.0697,0.731,0.0,0.233,-3.801,0.043,78.194,4,0
3DnsQ5O4uJw3MlYgvBJSCq,172607,75,0.685,0.359,0.374,8.43e-06,0.106,-10.778,0.036,145.915,4,0
4ZJ4vzLQekI0WntDbanNC7,194920,88,0.525,0.191,0.488,5.14e-05,0.135,-6.909,0.038,84.999,4,0
7d97WagcXzbZBibBk5NmcY,191437,60,0.36,0.146,0.553,0.0,0.322,-4.08,0.0295,127.83,3,0
0SFvSc2qggsVQqnfYzeCv4,182479,67,0.822,0.235,0.788,0.000996,0.205,-4.566,0.0489,129.996,4,0
1fTjqf10accJCDYstPwwZ6,156577,86,0.775,0.617,0.581,8.33e-06,0.0957,-3.621,0.108,104.977,4,0
6WatFBLVB0x077xWeoVc2k,195824,95,0.924,0.446,0.668,0.000594,0.0678,-6.795,0.0469,128.027,4,0
63pLfjK6FvcYJYMGwtHjd6,207746,88,0.819,0.0318,0.675,0.0,0.289,-4.281,0.0727,92.99,4,0
5bi0gh89wRuH2OgjdAKFsb,193038,87,0.725,0.321,0.709,0.000189,0.114,-5.017,0.129,99.993,4,0
5Uptvz6j1sjDKxidAcnH2L,156000,89,0.763,0.0859,0.626,0.225,0.205,-5.637,0.0433,100.02,4,0
5AH31dDNgxCMGDdxubNNn4,149073,76,0.69,0.523,0.482,0.0004,0.0728,-6.335,0.2,100.029,4,0
